date_iso,total_value,stock_value,bond_fund_value,cash_value,realized_pnl,unrealized_pnl
2026-02-27,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,10000000.0,0.0,0.0,10000000.0,0.0,0.0
2026-03-01,10000000.0,0.0,0.0,10000000.0,0.0,0.0
2026-03-01,10000000.0,0.0,0.0,10000000.0,0.0,0.0
2026-03-01,10000000.0,0.0,0.0,10000000.0,0.0,0.0
2026-03-01,10000000.0,0.0,0.0,10000000.0,0,0
2026-03-01,10000000,0.0,0.0,10000000,0,0
2026-03-01,10000000,0.0,0.0,10000000,0,0
2026-03-01,10000000,0.0,0.0,10000000,0,0
2026-03-01,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-02,10000000,0.0,0.0,10000000,0,0
2026-03-03,9999991.0,1575.0,0.0,9998416,0,-9.0
2026-03-03,9999991.0,1575.0,0.0,9998416,0,-9.0
2026-03-03,9999991.0,1575.0,0.0,9998416,0,-9.0
2026-03-03,9999991.0,1575.0,0.0,9998416,0,-9.0
2026-03-03,9999991.0,1575.0,0.0,9998416,0,-9.0
2026-03-04,9999956.8,1540.8,0.0,9998416,0,-43.2
2026-03-04,9999953.2,1537.2,0.0,9998416,0,-46.8
2026-03-04,9999953.2,1537.2,0.0,9998416,0,-46.8
2026-03-04,9999942.4,1526.4,0.0,9998416,0,-57.6
2026-03-04,10000014.4,1598.4,0.0,9998416,0,14.4
2026-03-04,10000014.4,1598.4,0.0,9998416,0,14.4
2026-03-04,10000014.4,1598.4,0.0,9998416,0,14.4
2026-03-04,10000014.4,1598.4,0.0,9998416,0,14.4
2026-03-04,10000014.4,1598.4,0.0,9998416,0,14.4
2026-03-05,9999956.8,1540.8,0.0,9998416,0,-43.2
2026-03-05,9999965.8,1549.8,0.0,9998416,0,-34.2
2026-03-05,9999953.2,1537.2,0.0,9998416,0,-46.8
2026-03-05,9999949.6,1533.6,0.0,9998416,0,-50.4
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,1487016.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,1487016.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,1487016.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,1487016.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,-95400.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,-95400.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,-95400.0
2026-03-06,11487016.0,1488600.0,0.0,9998416,0,-95400.0
2026-03-06,9999904.6,1488.6,0.0,9998416,0,-1582511.4
