symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
VNM,2025-08-22,56623.75,2025-09-17,62660.0,TP,10.6603,102616.25
VHM,2025-10-20,108307.14499999999,2025-11-10,90357.15,SL,-16.5732,-161549.95
VNM,2025-10-20,56747.68,2025-11-28,64272.86,TP,13.2608,127928.06
VHM,2025-12-12,99307.14499999999,2025-12-25,127514.29,TP,28.4039,282071.45
MBB,2025-12-12,24091.965,2026-01-12,27971.43,TP,16.1027,159058.07
VNM,2025-12-12,61030.535,2026-01-15,69718.57,TP,14.2356,139008.56
VHM,2026-01-13,129017.85500000001,2026-01-28,103392.85,SL,-19.8616,-179375.04
MWG,2025-11-04,78587.5,2026-01-30,93300.0,TP,18.7212,176550.0
