date,total_value,cash,open_positions_value
2025-02-03,20025229.49,16005499.49,4019730.0
2025-02-04,20094889.49,16005499.49,4089390.0
2025-02-05,20104009.49,16005499.49,4098510.0
2025-02-06,20153779.49,16005499.49,4148280.0
2025-02-07,20213899.49,16005499.49,4208400.0
2025-02-10,20302554.77,18275914.77,2026640.0
2025-02-11,20306314.77,18275914.77,2030400.0
2025-02-12,20290334.77,18275914.77,2014420.0
2025-02-13,20294094.77,18275914.77,2018180.0
2025-02-14,20297854.77,18275914.77,2021940.0
2025-02-17,20301925.07,14242185.07,6059740.0
2025-02-18,20326975.07,14242185.07,6084790.0
2025-02-19,20356975.07,14242185.07,6114790.0
2025-02-20,20402655.07,14242185.07,6160470.0
2025-02-21,20424495.07,14242185.07,6182310.0
2025-02-24,20461049.3,12204379.3,8256670.0
2025-02-25,20413079.3,12204379.3,8208700.0
2025-02-26,20357619.3,12204379.3,8153240.0
2025-02-27,20389879.3,12204379.3,8185500.0
2025-02-28,20352389.3,12204379.3,8148010.0
2025-03-03,20491371.83,10184891.83,10306480.0
2025-03-04,20609781.83,10184891.83,10424890.0
2025-03-05,20550631.83,10184891.83,10365740.0
2025-03-06,20679591.83,10184891.83,10494700.0
2025-03-07,20756509.03,12345759.03,8410750.0
2025-03-10,20786201.99,14469411.99,6316790.0
2025-03-11,20796371.99,14469411.99,6326960.0
2025-03-12,20749811.99,14469411.99,6280400.0
2025-03-13,20686831.99,14469411.99,6217420.0
2025-03-14,20659501.99,14469411.99,6190090.0
2025-03-17,20808846.71,12442106.71,8366740.0
2025-03-18,20765329.27,14571949.27,6193380.0
2025-03-19,20731419.27,14571949.27,6159470.0
2025-03-20,20753489.27,14571949.27,6181540.0
2025-03-21,20728959.27,14571949.27,6157010.0
2025-03-24,20746049.27,14571949.27,6174100.0
2025-03-25,20748549.27,14571949.27,6176600.0
2025-03-26,20761009.27,14571949.27,6189060.0
2025-03-27,20715319.72,12503119.72,8212200.0
2025-03-28,20704269.72,12503119.72,8201150.0
2025-03-31,20660639.72,12503119.72,8157520.0
2025-04-01,20778659.72,12503119.72,8275540.0
2025-04-02,20759369.72,12503119.72,8256250.0
2025-04-03,19991202.49,6391842.49,13599360.0
2025-04-04,19643513.97,17601193.97,2042320.0
2025-04-07,19643513.97,17601193.97,2042320.0
2025-04-08,19427432.22,13694532.22,5732900.0
2025-04-09,19086490.86,15517790.86,3568700.0
2025-04-10,19327440.86,15517790.86,3809650.0
2025-04-11,19581390.86,15517790.86,4063600.0
2025-04-14,19853390.86,15517790.86,4335600.0
2025-04-15,19851115.86,17742815.86,2108300.0
2025-04-16,19880115.86,17742815.86,2137300.0
2025-04-17,19907665.86,17742815.86,2164850.0
2025-04-18,19964424.66,19964424.66,0
2025-04-21,20097656.46,17994256.46,2103400.0
2025-04-22,20108056.46,17994256.46,2113800.0
2025-04-23,20084656.46,17994256.46,2090400.0
2025-04-24,20084656.46,17994256.46,2090400.0
2025-04-25,20030056.46,17994256.46,2035800.0
2025-04-28,20035256.46,17994256.46,2041000.0
2025-04-29,20027456.46,17994256.46,2033200.0
2025-04-30,20027456.46,17994256.46,2033200.0
2025-05-01,20027456.46,17994256.46,2033200.0
2025-05-02,20027456.46,17994256.46,2033200.0
2025-05-05,20048256.46,17994256.46,2054000.0
2025-05-06,20014456.46,17994256.46,2020200.0
2025-05-07,20014456.46,17994256.46,2020200.0
2025-05-08,20048256.46,17994256.46,2054000.0
2025-05-09,20061256.46,17994256.46,2067000.0
2025-05-12,20301449.79,13973569.79,6327880.0
2025-05-13,20320649.79,13973569.79,6347080.0
2025-05-14,20376424.97,16220224.97,4156200.0
2025-05-15,20426824.97,16220224.97,4206600.0
2025-05-16,20353424.97,16220224.97,4133200.0
2025-05-19,20437598.19,12169398.19,8268200.0
2025-05-20,20637198.19,12169398.19,8467800.0
2025-05-21,20803798.19,12169398.19,8634400.0
2025-05-22,20737938.19,12169398.19,8568540.0
2025-05-23,20735178.19,12169398.19,8565780.0
2025-05-26,20777518.19,12169398.19,8608120.0
2025-05-27,20849458.19,12169398.19,8680060.0
2025-05-28,20799378.19,12169398.19,8629980.0
2025-05-29,20771998.19,12169398.19,8602600.0
2025-05-30,20695358.19,12169398.19,8525960.0
2025-06-02,20890138.19,12169398.19,8720740.0
2025-06-03,21052032.49,16775272.49,4276760.0
2025-06-04,21008292.49,16775272.49,4233020.0
2025-06-05,21012812.49,16775272.49,4237540.0
2025-06-06,21039946.33,18973126.33,2066820.0
2025-06-09,21047926.33,18973126.33,2074800.0
2025-06-10,21043366.33,18973126.33,2070240.0
2025-06-11,21047926.33,18973126.33,2074800.0
2025-06-12,21086686.33,18973126.33,2113560.0
2025-06-13,21099226.33,18973126.33,2126100.0
2025-06-16,21169101.39,16866081.39,4303020.0
2025-06-17,21163381.39,16866081.39,4297300.0
2025-06-18,21144481.39,16866081.39,4278400.0
2025-06-19,21158901.39,16866081.39,4292820.0
2025-06-20,21221581.39,16866081.39,4355500.0
2025-06-23,21260961.39,16866081.39,4394880.0
2025-06-24,21257561.39,16866081.39,4391480.0
2025-06-25,21234741.39,16866081.39,4368660.0
2025-06-26,21244301.39,16866081.39,4378220.0
2025-06-27,21270721.39,16866081.39,4404640.0
2025-06-30,21365677.92,14744491.92,6621186.0
2025-07-01,21297891.92,14744491.92,6553400.0
2025-07-02,21402611.92,14744491.92,6658120.0
2025-07-03,21395341.92,14744491.92,6650850.0
2025-07-04,21409671.92,14744491.92,6665180.0
2025-07-07,21878083.09,10481403.09,11396680.0
2025-07-08,22014858.13,12758708.13,9256150.0
2025-07-09,22132161.05,15281771.05,6850390.0
2025-07-10,22110111.05,15281771.05,6828340.0
2025-07-11,22099901.05,15281771.05,6818130.0
2025-07-14,22370035.45,13073965.45,9296070.0
2025-07-15,22483154.21,17937814.21,4545340.0
2025-07-16,22574904.21,17937814.21,4637090.0
2025-07-17,22577094.21,17937814.21,4639280.0
2025-07-18,22586464.21,17937814.21,4648650.0
2025-07-21,22542164.21,17937814.21,4604350.0
2025-07-22,22671800.27,20389090.27,2282710.0
2025-07-23,22674720.27,20389090.27,2285630.0
2025-07-24,22676910.27,20389090.27,2287820.0
2025-07-25,22671800.27,20389090.27,2282710.0
2025-07-28,22671800.27,20389090.27,2282710.0
2025-07-29,22582010.27,20389090.27,2192920.0
2025-07-30,22734396.31,22734396.31,0
2025-07-31,22734396.31,22734396.31,0
2025-08-01,22734396.31,22734396.31,0
2025-08-04,22734396.31,22734396.31,0
2025-08-05,22734396.31,22734396.31,0
2025-08-06,22734396.31,22734396.31,0
2025-08-07,22734396.31,22734396.31,0
2025-08-08,22734396.31,22734396.31,0
2025-08-11,22734396.31,22734396.31,0
2025-08-12,22734396.31,22734396.31,0
2025-08-13,22734396.31,22734396.31,0
2025-08-14,22734396.31,22734396.31,0
2025-08-15,22734396.31,22734396.31,0
2025-08-18,22734396.31,22734396.31,0
2025-08-19,22734396.31,22734396.31,0
2025-08-20,22734396.31,22734396.31,0
2025-08-21,22734396.31,22734396.31,0
2025-08-22,22712246.31,20469446.31,2242800.0
2025-08-25,22712246.31,20469446.31,2242800.0
2025-08-26,22750246.31,20469446.31,2280800.0
2025-08-27,22781046.31,20469446.31,2311600.0
2025-08-28,22800246.31,20469446.31,2330800.0
2025-08-29,22773446.31,20469446.31,2304000.0
2025-09-01,22773446.31,20469446.31,2304000.0
2025-09-02,22773446.31,20469446.31,2304000.0
2025-09-03,22773065.06,18235965.06,4537100.0
2025-09-04,22784665.06,18235965.06,4548700.0
2025-09-05,22750265.06,18235965.06,4514300.0
2025-09-08,22738665.06,18235965.06,4502700.0
2025-09-09,22800930.06,18235965.06,4564965.0
2025-09-10,22811515.06,18235965.06,4575550.0
2025-09-11,22954365.06,18235965.06,4718400.0
2025-09-12,23062265.06,18235965.06,4826300.0
2025-09-15,23058265.06,18235965.06,4822300.0
2025-09-16,23039015.06,20676515.06,2362500.0
2025-09-17,23180765.06,20676515.06,2504250.0
2025-09-18,23214015.06,20676515.06,2537500.0
2025-09-19,23353996.16,23353996.16,0
2025-09-22,23353996.16,23353996.16,0
2025-09-23,23353996.16,23353996.16,0
2025-09-24,23353996.16,23353996.16,0
2025-09-25,23353996.16,23353996.16,0
2025-09-26,23353996.16,23353996.16,0
2025-09-29,23353996.16,23353996.16,0
2025-09-30,23353996.16,23353996.16,0
2025-10-01,23353996.16,23353996.16,0
2025-10-02,23353996.16,23353996.16,0
2025-10-03,23353996.16,23353996.16,0
2025-10-06,23353996.16,23353996.16,0
2025-10-07,23353996.16,23353996.16,0
2025-10-08,23353996.16,23353996.16,0
2025-10-09,23353996.16,23353996.16,0
2025-10-10,23353996.16,23353996.16,0
2025-10-13,23383651.98,16382851.98,7000800.0
2025-10-14,23282351.98,16382851.98,6899500.0
2025-10-15,23237651.98,16382851.98,6854800.0
2025-10-16,23275651.98,16382851.98,6892800.0
2025-10-17,23178051.98,16382851.98,6795200.0
2025-10-20,22635516.04,9557416.04,13078100.0
2025-10-21,22739316.04,9557416.04,13181900.0
2025-10-22,22814216.04,9557416.04,13256800.0
2025-10-23,22820616.04,9557416.04,13263200.0
2025-10-24,22880716.04,9557416.04,13323300.0
2025-10-27,22600816.04,9557416.04,13043400.0
2025-10-28,22749216.04,9557416.04,13191800.0
2025-10-29,22793916.04,9557416.04,13236500.0
2025-10-30,22758916.04,9557416.04,13201500.0
2025-10-31,22604216.04,9557416.04,13046800.0
2025-11-03,22426816.04,9557416.04,12869400.0
2025-11-04,22765466.04,7356966.04,15408500.0
2025-11-05,22774866.04,7356966.04,15417900.0
2025-11-06,22681966.04,7356966.04,15325000.0
2025-11-07,22261666.04,7356966.04,14904700.0
2025-11-10,22125066.04,7356966.04,14768100.0
2025-11-11,22409666.04,7356966.04,15052700.0
2025-11-12,22695366.04,7356966.04,15338400.0
2025-11-13,22722066.04,7356966.04,15365100.0
2025-11-14,22799187.64,9845787.64,12953400.0
2025-11-17,23073064.64,7620564.64,15452500.0
2025-11-18,23064664.64,7620564.64,15444100.0
2025-11-19,23020064.64,7620564.64,15399500.0
2025-11-20,22947364.64,7620564.64,15326800.0
2025-11-21,22870364.64,7620564.64,15249800.0
2025-11-24,23019564.64,7620564.64,15399000.0
2025-11-25,22855764.64,7620564.64,15235200.0
2025-11-26,23002864.64,7620564.64,15382300.0
2025-11-27,22960764.64,7620564.64,15340200.0
2025-11-28,22953578.96,10066078.96,12887500.0
2025-12-01,23099300.16,7785000.16,15314300.0
2025-12-02,23118500.16,7785000.16,15333500.0
2025-12-03,23451664.16,7785000.16,15666664.0
2025-12-04,23415200.16,7785000.16,15630200.0
2025-12-05,23318100.16,7785000.16,15533100.0
2025-12-08,23386182.73,5485272.73,17900910.0
2025-12-09,23174752.73,5485272.73,17689480.0
2025-12-10,23145012.73,5485272.73,17659740.0
2025-12-11,22938352.73,5485272.73,17453080.0
2025-12-12,22294015.18,917325.18,21376690.0
2025-12-15,22385395.18,917325.18,21468070.0
2025-12-16,22914945.18,917325.18,21997620.0
2025-12-17,22790625.18,917325.18,21873300.0
2025-12-18,22846525.18,917325.18,21929200.0
2025-12-19,23129825.18,917325.18,22212500.0
2025-12-22,23500525.18,917325.18,22583200.0
2025-12-23,23603125.18,917325.18,22685800.0
2025-12-24,23833625.18,917325.18,22916300.0
2025-12-25,23901375.21,6122625.21,17778750.0
2025-12-26,23884125.21,6122625.21,17761500.0
2025-12-29,24372416.71,1459466.71,22912950.0
2025-12-30,24554616.71,1459466.71,23095150.0
2025-12-31,24683966.71,1459466.71,23224500.0
2026-01-01,24683966.71,1459466.71,23224500.0
2026-01-02,24683966.71,1459466.71,23224500.0
2026-01-05,24547408.32,4390358.32,20157050.0
2026-01-06,24890858.32,4390358.32,20500500.0
2026-01-07,25337158.32,4390358.32,20946800.0
2026-01-08,25669576.18,9531226.18,16138350.0
2026-01-09,25730544.8,12160794.8,13569750.0
2026-01-12,26891843.54,4465863.54,22425980.0
2026-01-13,26961254.9,7406154.9,19555100.0
2026-01-14,26713804.9,7406154.9,19307650.0
2026-01-15,26586453.7,9916553.7,16669900.0
2026-01-16,26777303.7,9916553.7,16860750.0
2026-01-19,27168440.9,7251090.9,19917350.0
2026-01-20,27035107.52,10251407.52,16783700.0
2026-01-21,26888207.52,10251407.52,16636800.0
2026-01-22,26928307.52,10251407.52,16676900.0
2026-01-23,26902057.52,10251407.52,16650650.0
2026-01-26,26446157.52,10251407.52,16194750.0
2026-01-27,26337907.52,10251407.52,16086500.0
2026-01-28,26183907.52,10251407.52,15932500.0
2026-01-29,26582457.52,10251407.52,16331050.0
2026-01-30,26725207.52,10251407.52,16473800.0
2026-02-02,26390207.52,10251407.52,16138800.0
2026-02-03,26444331.48,12883731.48,13560600.0
2026-02-04,26483659.68,14755959.68,11727700.0
2026-02-05,26272809.68,14755959.68,11516850.0
2026-02-06,26005182.34,12183020.34,13822162.0
2026-02-09,26030170.34,12183020.34,13847150.0
2026-02-10,26032404.5,15053254.5,10979150.0
2026-02-11,26321954.5,15053254.5,11268700.0
2026-02-12,26345254.5,15053254.5,11292000.0
2026-02-13,26341354.5,15053254.5,11288100.0
2026-02-16,26341354.5,15053254.5,11288100.0
2026-02-17,26341354.5,15053254.5,11288100.0
2026-02-18,26341354.5,15053254.5,11288100.0
2026-02-19,26341354.5,15053254.5,11288100.0
2026-02-20,26341354.5,15053254.5,11288100.0
2026-02-23,26557654.5,15053254.5,11504400.0
2026-02-24,26592054.5,15053254.5,11538800.0
2026-02-25,26574316.5,15053254.5,11521062.0
