symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
ACB,2024-01-02,16366.35,2024-01-04,17910.7,TP,9.4361,282616.05
BID,2024-01-08,35625.59,2024-01-19,39768.700000000004,TP,11.6296,335591.91
VCI,2024-03-04,25235.21,2024-03-21,30192.4,TP,19.6439,609734.37
STB,2024-03-08,30942.85,2024-04-15,28525.7,SL,-7.8117,-244132.15
VND,2024-03-11,19329.31,2024-04-15,17682.3,SL,-8.5208,-265168.61
MWG,2024-03-25,47967.92,2024-05-14,59116.5,TP,23.2417,713509.12
VCB,2024-03-04,60960.9,2024-06-28,56550.9,SL,-7.2341,-220500.0
