date,total_value,cash,open_positions_value
2024-01-02,20145237.95,17004957.95,3140280.0
2024-01-03,20216607.95,17004957.95,3211650.0
2024-01-04,20282616.05,20282616.05,0
2024-01-05,20282616.05,20282616.05,0
2024-01-08,20469273.26,17396943.26,3072330.0
2024-01-09,20445783.26,17396943.26,3048840.0
2024-01-10,20534883.26,17396943.26,3137940.0
2024-01-11,20475753.26,17396943.26,3078810.0
2024-01-12,20442543.26,17396943.26,3045600.0
2024-01-15,20482233.26,17396943.26,3085290.0
2024-01-16,20501673.26,17396943.26,3104730.0
2024-01-17,20498433.26,17396943.26,3101490.0
2024-01-18,20542173.26,17396943.26,3145230.0
2024-01-19,20618207.96,20618207.96,0
2024-01-22,20618207.96,20618207.96,0
2024-01-23,20618207.96,20618207.96,0
2024-01-24,20618207.96,20618207.96,0
2024-01-25,20618207.96,20618207.96,0
2024-01-26,20618207.96,20618207.96,0
2024-01-29,20618207.96,20618207.96,0
2024-01-30,20618207.96,20618207.96,0
2024-01-31,20618207.96,20618207.96,0
2024-02-01,20618207.96,20618207.96,0
2024-02-02,20618207.96,20618207.96,0
2024-02-05,20618207.96,20618207.96,0
2024-02-06,20618207.96,20618207.96,0
2024-02-07,20618207.96,20618207.96,0
2024-02-08,20618207.96,20618207.96,0
2024-02-09,20618207.96,20618207.96,0
2024-02-12,20618207.96,20618207.96,0
2024-02-13,20618207.96,20618207.96,0
2024-02-14,20618207.96,20618207.96,0
2024-02-15,20618207.96,20618207.96,0
2024-02-16,20618207.96,20618207.96,0
2024-02-19,20618207.96,20618207.96,0
2024-02-20,20618207.96,20618207.96,0
2024-02-21,20618207.96,20618207.96,0
2024-02-22,20618207.96,20618207.96,0
2024-02-23,20618207.96,20618207.96,0
2024-02-26,20618207.96,20618207.96,0
2024-02-27,20618207.96,20618207.96,0
2024-02-28,20618207.96,20618207.96,0
2024-02-29,20618207.96,20618207.96,0
2024-03-01,20618207.96,20618207.96,0
2024-03-04,20814332.13,14466232.13,6348100.0
2024-03-05,20863522.13,14466232.13,6397290.0
2024-03-06,20846112.13,14466232.13,6379880.0
2024-03-07,20968232.13,14466232.13,6502000.0
2024-03-08,20824134.28,11341004.28,9483130.0
2024-03-11,20656095.37,8228985.37,12427110.0
2024-03-12,20672715.37,8228985.37,12443730.0
2024-03-13,21137365.37,8228985.37,12908380.0
2024-03-14,21071245.37,8228985.37,12842260.0
2024-03-15,21177465.37,8228985.37,12948480.0
2024-03-18,20971831.57,5056301.57,15915530.0
2024-03-19,20901621.57,5056301.57,15845320.0
2024-03-20,21238751.57,5056301.57,16182450.0
2024-03-21,21605196.77,8769966.77,12835230.0
2024-03-22,21699356.77,8769966.77,12929390.0
2024-03-25,21463669.89,5700019.89,15763650.0
2024-03-26,21491709.89,5700019.89,15791690.0
2024-03-27,21580009.89,5700019.89,15879990.0
2024-03-28,21687569.89,5700019.89,15987550.0
2024-03-29,21561799.89,5700019.89,15861780.0
2024-04-01,21546559.89,5700019.89,15846540.0
2024-04-02,21472669.89,5700019.89,15772650.0
2024-04-03,21264629.89,5700019.89,15564610.0
2024-04-04,21249869.89,5700019.89,15549850.0
2024-04-05,21147029.89,5700019.89,15447010.0
2024-04-08,20986949.89,5700019.89,15286930.0
2024-04-09,21270209.89,5700019.89,15570190.0
2024-04-10,21160759.89,5700019.89,15460740.0
2024-04-11,21137369.89,5700019.89,15437350.0
2024-04-12,21190709.89,5700019.89,15490690.0
2024-04-15,20671130.89,8259140.89,12411990.0
2024-04-16,20657710.89,8259140.89,12398570.0
2024-04-17,20523600.89,8259140.89,12264460.0
2024-04-18,20523600.89,8259140.89,12264460.0
2024-04-19,20410570.89,8259140.89,12151430.0
2024-04-22,20484000.89,8259140.89,12224860.0
2024-04-23,20482780.89,8259140.89,12223640.0
2024-04-24,20830660.89,8259140.89,12571520.0
2024-04-25,20881250.89,8259140.89,12622110.0
2024-04-26,20947580.89,8259140.89,12688440.0
2024-04-29,20947580.89,8259140.89,12688440.0
2024-04-30,20947580.89,8259140.89,12688440.0
2024-05-01,20947580.89,8259140.89,12688440.0
2024-05-02,21025320.89,8259140.89,12766180.0
2024-05-03,21144490.89,8259140.89,12885350.0
2024-05-06,21405810.89,8259140.89,13146670.0
2024-05-07,21563230.89,8259140.89,13304090.0
2024-05-08,21600630.89,8259140.89,13341490.0
2024-05-09,21550980.89,8259140.89,13291840.0
2024-05-10,21546170.89,8259140.89,13287030.0
2024-05-13,21553097.14,5792927.14,15760170.0
2024-05-14,21699203.14,9576383.14,12122820.0
2024-05-15,21859703.14,9576383.14,12283320.0
2024-05-16,22050913.14,9576383.14,12474530.0
2024-05-17,22040663.14,9576383.14,12464280.0
2024-05-20,22175032.54,6843052.54,15331980.0
2024-05-21,22127992.54,6843052.54,15284940.0
2024-05-22,22029672.54,6843052.54,15186620.0
2024-05-23,22291157.54,4454477.54,17836680.0
2024-05-24,22011702.58,1500742.58,20510960.0
2024-05-27,22059082.58,1500742.58,20558340.0
2024-05-28,22285442.58,1500742.58,20784700.0
2024-05-29,22077242.58,1500742.58,20576500.0
2024-05-30,21933752.58,1500742.58,20433010.0
2024-05-31,21910992.58,1500742.58,20410250.0
2024-06-03,22184702.58,1500742.58,20683960.0
2024-06-04,22166342.58,1500742.58,20665600.0
2024-06-05,22173902.58,1500742.58,20673160.0
2024-06-06,22095102.58,1500742.58,20594360.0
2024-06-07,22063302.58,1500742.58,20562560.0
2024-06-10,22018942.58,1500742.58,20518200.0
2024-06-11,21891952.58,1500742.58,20391210.0
2024-06-12,22224072.58,1500742.58,20723330.0
2024-06-13,22237972.58,1500742.58,20737230.0
2024-06-14,21933542.58,1500742.58,20432800.0
2024-06-17,21800782.58,1500742.58,20300040.0
2024-06-18,21748712.58,1500742.58,20247970.0
2024-06-19,21645522.58,1500742.58,20144780.0
2024-06-20,21602622.58,1500742.58,20101880.0
2024-06-21,21497752.58,1500742.58,19997010.0
2024-06-24,21121882.58,1500742.58,19621140.0
2024-06-25,21161882.58,1500742.58,19661140.0
2024-06-26,21208662.58,1500742.58,19707920.0
2024-06-27,21145932.58,1500742.58,19645190.0
2024-06-28,20994457.58,4328287.58,16666170.0
