symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
HPG,2025-03-03,22200.0,2025-04-08,19080.0,SELL,-14.0541,-430560.0
VCB,2025-02-24,61800.0,2025-04-08,55400.0,SELL,-10.356,-313600.0
ACB,2025-02-10,21350.0,2025-04-08,18510.0,SELL,-13.3021,-403280.0
VCI,2025-04-11,34950.0,2025-06-16,35380.0,SELL,1.2303,26230.0
VCI,2025-07-14,36800.0,2025-10-27,36860.0,SELL,0.163,4140.0
TCB,2025-02-03,23800.0,2025-11-10,33400.0,SELL,40.3361,1209600.0
STB,2025-02-17,38150.0,2025-11-10,48500.0,SELL,27.1298,786600.0
VND,2025-04-11,13450.0,2025-11-10,19050.0,SELL,41.6357,744800.0
VIX,2025-04-08,10900.0,2025-11-24,23550.0,SELL,116.055,2251700.0
VPB,2025-12-11,28150.0,2025-12-15,27500.0,SELL,-2.3091,-50050.0
VRE,2026-01-12,34000.0,2026-02-02,28100.0,SELL,-17.3529,-253700.0
VHM,2025-10-28,106800.0,2026-02-09,95000.0,SELL,-11.0487,-212400.0
