date,total_value,cash,open_positions_value
2025-02-03,20000000.0,20000000.0,0
2025-02-04,20000000.0,20000000.0,0
2025-02-05,20000000.0,20000000.0,0
2025-02-06,20000000.0,20000000.0,0
2025-02-07,20000000.0,20000000.0,0
2025-02-10,20000000.0,20000000.0,0
2025-02-11,20000000.0,20000000.0,0
2025-02-12,20000000.0,20000000.0,0
2025-02-13,20000000.0,20000000.0,0
2025-02-14,20000000.0,20000000.0,0
2025-02-17,20000000.0,20000000.0,0
2025-02-18,20000000.0,20000000.0,0
2025-02-19,20000000.0,20000000.0,0
2025-02-20,20000000.0,20000000.0,0
2025-02-21,20000000.0,20000000.0,0
2025-02-24,20000000.0,20000000.0,0
2025-02-25,20000000.0,20000000.0,0
2025-02-26,20000000.0,20000000.0,0
2025-02-27,20000000.0,20000000.0,0
2025-02-28,20000000.0,20000000.0,0
2025-03-03,20000000.0,20000000.0,0
2025-03-04,20000000.0,20000000.0,0
2025-03-05,20000000.0,20000000.0,0
2025-03-06,20000000.0,20000000.0,0
2025-03-07,20000000.0,20000000.0,0
2025-03-10,20000000.0,20000000.0,0
2025-03-11,20000000.0,20000000.0,0
2025-03-12,20000000.0,20000000.0,0
2025-03-13,20000000.0,20000000.0,0
2025-03-14,20000000.0,20000000.0,0
2025-03-17,20000000.0,20000000.0,0
2025-03-18,20000000.0,20000000.0,0
2025-03-19,20000000.0,20000000.0,0
2025-03-20,20000000.0,20000000.0,0
2025-03-21,20000000.0,20000000.0,0
2025-03-24,20000000.0,20000000.0,0
2025-03-25,20000000.0,20000000.0,0
2025-03-26,20000000.0,20000000.0,0
2025-03-27,20000000.0,20000000.0,0
2025-03-28,20000000.0,20000000.0,0
2025-03-31,20000000.0,20000000.0,0
2025-04-01,20000000.0,20000000.0,0
2025-04-02,20000000.0,20000000.0,0
2025-04-03,19920995.82,18062455.82,1858540.0
2025-04-04,19889573.12,19889573.12,0
2025-04-07,19889573.12,19889573.12,0
2025-04-08,19889573.12,19889573.12,0
2025-04-09,19889573.12,19889573.12,0
2025-04-10,19889573.12,19889573.12,0
2025-04-11,19889573.12,19889573.12,0
2025-04-14,19889573.12,19889573.12,0
2025-04-15,19889573.12,19889573.12,0
2025-04-16,19889573.12,19889573.12,0
2025-04-17,19889573.12,19889573.12,0
2025-04-18,19889573.12,19889573.12,0
2025-04-21,19889573.12,19889573.12,0
2025-04-22,19889573.12,19889573.12,0
2025-04-23,19889573.12,19889573.12,0
2025-04-24,19889573.12,19889573.12,0
2025-04-25,19889573.12,19889573.12,0
2025-04-28,19889573.12,19889573.12,0
