symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
VIX,2022-04-08,10533.22,2022-04-18,8739.6,SL,-17.0282,-200885.44
MBB,2022-04-15,14251.25,2022-04-25,12773.7,SL,-10.3679,-200946.8
VPB,2022-04-04,22112.09,2022-04-26,20087.0,SL,-9.1583,-198458.82
VND,2022-04-12,25685.66,2022-05-06,22068.5,SL,-14.0824,-198943.8
MWG,2022-04-25,71928.73,2022-05-09,65826.1,SL,-8.4843,-195284.16
GAS,2022-06-06,74654.58,2022-07-07,64147.0,SL,-14.0749,-189136.44
MWG,2022-06-13,68111.0,2022-07-18,59033.0,SL,-13.3282,-190638.0
FPT,2022-06-22,52797.85,2022-10-07,46794.4,SL,-11.3706,-132075.9
VNM,2022-10-24,61267.32,2022-11-01,67114.5,TP,9.5437,181262.58
