date,total_value,cash,open_positions_value
2022-04-04,20078195.18,17833015.18,2245180.0
2022-04-05,20037035.18,17833015.18,2204020.0
2022-04-06,20132095.18,17833015.18,2299080.0
2022-04-07,20123275.18,17833015.18,2290260.0
2022-04-08,20023514.54,16653294.54,3370220.0
2022-04-11,20023514.54,16653294.54,3370220.0
2022-04-12,20099533.24,15240583.24,4858950.0
2022-04-13,20248323.24,15240583.24,5007740.0
2022-04-14,20172633.24,15240583.24,4932050.0
2022-04-15,19989733.24,13302413.24,6687320.0
2022-04-18,19680568.44,14281248.44,5399320.0
2022-04-19,19472208.44,14281248.44,5190960.0
2022-04-20,19462798.44,14281248.44,5181550.0
2022-04-21,19600678.44,14281248.44,5319430.0
2022-04-22,19643258.44,14281248.44,5362010.0
2022-04-25,19226562.28,13716752.28,5509810.0
2022-04-26,19374898.28,15685278.28,3689620.0
2022-04-27,19337058.28,15685278.28,3651780.0
2022-04-28,19268258.28,15685278.28,3582980.0
2022-04-29,19358748.28,15685278.28,3673470.0
2022-05-02,19358748.28,15685278.28,3673470.0
2022-05-03,19358748.28,15685278.28,3673470.0
2022-05-04,19319458.28,15685278.28,3634180.0
2022-05-05,19273628.28,15685278.28,3588350.0
2022-05-06,19156645.78,16899045.78,2257600.0
2022-05-09,19005480.98,19005480.98,0
2022-05-10,19005480.98,19005480.98,0
2022-05-11,19005480.98,19005480.98,0
2022-05-12,19005480.98,19005480.98,0
2022-05-13,19005480.98,19005480.98,0
2022-05-16,19005480.98,19005480.98,0
2022-05-17,19005480.98,19005480.98,0
2022-05-18,19005480.98,19005480.98,0
2022-05-19,19005480.98,19005480.98,0
2022-05-20,19005480.98,19005480.98,0
2022-05-23,19005480.98,19005480.98,0
2022-05-24,19005480.98,19005480.98,0
2022-05-25,19005480.98,19005480.98,0
2022-05-26,19005480.98,19005480.98,0
2022-05-27,19005480.98,19005480.98,0
2022-05-30,19005480.98,19005480.98,0
2022-05-31,19005480.98,19005480.98,0
2022-06-01,19005480.98,19005480.98,0
2022-06-02,19005480.98,19005480.98,0
2022-06-03,19005480.98,19005480.98,0
2022-06-06,19229858.54,17661698.54,1568160.0
2022-06-07,19230938.54,17661698.54,1569240.0
2022-06-08,19217798.54,17661698.54,1556100.0
2022-06-09,19201958.54,17661698.54,1540260.0
2022-06-10,19094498.54,17661698.54,1432800.0
2022-06-13,19079507.54,16231367.54,2848140.0
2022-06-14,19212077.54,16231367.54,2980710.0
2022-06-15,19230587.54,16231367.54,2999220.0
2022-06-16,19383617.54,16231367.54,3152250.0
2022-06-17,19429517.54,16231367.54,3198150.0
2022-06-20,19240097.54,16231367.54,3008730.0
2022-06-21,19169297.54,16231367.54,2937930.0
2022-06-22,18974954.84,15069814.84,3905140.0
2022-06-23,19110504.84,15069814.84,4040690.0
2022-06-24,19064874.84,15069814.84,3995060.0
2022-06-27,19074974.84,15069814.84,4005160.0
2022-06-28,19164424.84,15069814.84,4094610.0
2022-06-29,19184434.84,15069814.84,4114620.0
2022-06-30,19083934.84,15069814.84,4014120.0
2022-07-01,19053934.84,15069814.84,3984120.0
2022-07-04,18968054.84,15069814.84,3898240.0
2022-07-05,18834314.84,15069814.84,3764500.0
2022-07-06,18689074.84,15069814.84,3619260.0
2022-07-07,18650000.84,16224460.84,2425540.0
2022-07-08,18677200.84,16224460.84,2452740.0
2022-07-11,18656550.84,16224460.84,2432090.0
2022-07-12,18663910.84,16224460.84,2439450.0
2022-07-13,18633890.84,16224460.84,2409430.0
2022-07-14,18617700.84,16224460.84,2393240.0
2022-07-15,18587080.84,16224460.84,2362620.0
2022-07-18,18586373.84,17464153.84,1122220.0
2022-07-19,18586373.84,17464153.84,1122220.0
2022-07-20,18612333.84,17464153.84,1148180.0
2022-07-21,18613433.84,17464153.84,1149280.0
2022-07-22,18614753.84,17464153.84,1150600.0
2022-07-25,18618713.84,17464153.84,1154560.0
2022-07-26,18611013.84,17464153.84,1146860.0
2022-07-27,18616073.84,17464153.84,1151920.0
2022-07-28,18612333.84,17464153.84,1148180.0
2022-07-29,18593413.84,17464153.84,1129260.0
2022-08-01,18600013.84,17464153.84,1135860.0
2022-08-02,18603973.84,17464153.84,1139820.0
2022-08-03,18611013.84,17464153.84,1146860.0
2022-08-04,18628393.84,17464153.84,1164240.0
2022-08-05,18624433.84,17464153.84,1160280.0
2022-08-08,18627073.84,17464153.84,1162920.0
2022-08-09,18629713.84,17464153.84,1165560.0
2022-08-10,18627073.84,17464153.84,1162920.0
2022-08-11,18627073.84,17464153.84,1162920.0
2022-08-12,18633893.84,17464153.84,1169740.0
2022-08-15,18666453.84,17464153.84,1202300.0
2022-08-16,18663593.84,17464153.84,1199440.0
2022-08-17,18658313.84,17464153.84,1194160.0
2022-08-18,18658313.84,17464153.84,1194160.0
2022-08-19,18639173.84,17464153.84,1175020.0
2022-08-22,18637633.84,17464153.84,1173480.0
2022-08-23,18640493.84,17464153.84,1176340.0
2022-08-24,18643133.84,17464153.84,1178980.0
2022-08-25,18644673.84,17464153.84,1180520.0
2022-08-26,18656993.84,17464153.84,1192840.0
2022-08-29,18647533.84,17464153.84,1183380.0
2022-08-30,18646213.84,17464153.84,1182060.0
2022-08-31,18648853.84,17464153.84,1184700.0
2022-09-01,18648853.84,17464153.84,1184700.0
2022-09-02,18648853.84,17464153.84,1184700.0
