symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
STB,2022-01-04,28830.0,2022-01-12,34430.0,TP,19.4242,464800.0
HCM,2022-01-11,20470.0,2022-01-18,17860.0,SL,-12.7504,-310590.0
VCB,2022-01-17,45260.0,2022-01-24,50660.0,TP,11.9311,291600.0
VIC,2022-01-10,49700.0,2022-02-08,45520.0,SL,-8.4105,-200640.0
GAS,2022-01-17,66590.0,2022-02-23,80480.0,TP,20.859,513930.0
MWG,2022-03-28,63960.0,2022-03-29,70060.0,TP,9.5372,237900.0
VIX,2022-04-08,12550.0,2022-04-18,10420.0,SL,-16.9721,-436650.0
VRE,2022-01-17,32680.0,2022-04-21,29230.0,SL,-10.5569,-258750.0
GAS,2022-03-11,75380.0,2022-04-22,67870.0,SL,-9.9629,-240320.0
MBB,2022-01-24,13940.0,2022-04-25,12840.0,SL,-7.891,-193600.0
ACB,2022-02-07,15960.0,2022-04-25,14720.0,SL,-7.7694,-195920.0
BID,2022-03-09,29600.0,2022-04-26,25990.0,SL,-12.1959,-299630.0
VPB,2022-04-04,22110.0,2022-04-26,20090.0,SL,-9.1361,-234320.0
VND,2022-04-12,25690.0,2022-05-06,22070.0,SL,-14.0911,-354760.0
MWG,2022-04-25,71930.0,2022-05-09,65830.0,SL,-8.4805,-195200.0
GAS,2022-06-06,74650.0,2022-07-07,64140.0,SL,-14.079,-304790.0
MWG,2022-06-13,68110.0,2022-07-18,59030.0,SL,-13.3314,-299640.0
FPT,2022-06-22,52800.0,2022-10-07,46800.0,SL,-11.3636,-174000.0
VNM,2022-10-24,61270.0,2022-11-01,67120.0,TP,9.5479,140400.0
VNM,2022-11-10,63490.0,2022-12-05,70030.0,TP,10.3008,156960.0
