symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
ACB,2025-03-11,21853.215,2025-04-03,21019.64,SL,-3.8144,-75855.32
VCB,2025-04-03,63122.445,2025-04-04,60707.34,SL,-3.8261,-74868.26
TCB,2025-04-03,26071.25,2025-04-04,24533.75,SL,-5.8973,-116850.0
STB,2025-04-03,36991.07,2025-04-04,34473.21,SL,-6.8067,-133446.58
VCI,2025-04-08,34957.145000000004,2025-04-09,31931.43,SL,-8.6555,-166414.33
VIX,2025-04-08,10871.25,2025-04-15,12361.25,TP,13.7059,268200.0
VND,2025-04-08,13447.145,2025-04-18,15321.43,TP,13.9382,271771.32
VNM,2025-08-22,56623.75,2025-09-16,61013.75,TP,7.7529,153650.0
VHM,2025-10-20,108307.14499999999,2025-11-07,92921.43,SL,-14.2056,-276942.87
VNM,2025-10-20,56747.68,2025-11-14,62220.54,TP,9.6442,191550.1
MSN,2025-10-20,83183.93,2025-12-12,73551.79,SL,-11.5793,-231171.36
VHM,2025-12-12,99307.14499999999,2025-12-24,119821.43,TP,20.6574,389771.42
MWG,2025-11-04,78587.5,2025-12-25,89287.5,TP,13.6154,267500.0
MBB,2025-12-12,24091.965,2026-01-08,26913.39,TP,11.7111,231356.85
VNM,2025-11-18,60626.07,2026-01-14,66423.21,TP,9.5621,185508.48
VHM,2026-01-13,129017.85500000001,2026-01-28,107053.57,SL,-17.0242,-351428.56
