symbol,entry_date,entry_price,exit_date,exit_price,reason,return_pct,pnl_vnd
CTG,2025-01-02,25195.17,2025-02-07,28027.4,TP,11.2412,331370.91
TCB,2025-01-03,23302.5,2025-02-10,25527.5,TP,9.5483,287025.0
MBB,2025-02-10,16866.85,2025-03-07,18193.7,TP,7.8666,241486.7
TCB,2025-02-17,25155.13,2025-03-10,27474.800000000003,TP,9.2215,285319.41
VCB,2025-03-03,61881.82,2025-03-12,65324.700000000004,TP,5.5636,172144.0
ACB,2025-02-10,21331.31,2025-04-03,20483.800000000003,SL,-3.9731,-122888.95
VCB,2025-03-17,63353.29,2025-04-03,60469.4,SL,-4.5521,-144194.5
STB,2025-02-17,38138.1,2025-04-04,35491.6,SL,-6.9393,-206427.0
HPG,2025-03-03,22192.17,2025-04-04,21000.7,SL,-5.3689,-166805.8
HCM,2025-03-27,23779.65,2025-04-04,21786.7,SL,-8.3809,-271041.2
TCB,2025-04-03,26071.25,2025-04-04,24226.2,SL,-7.077,-228786.2
VCI,2025-04-04,26685.72,2025-04-09,24443.4,SL,-8.4027,-255624.48
VIX,2025-04-08,9129.53,2025-05-16,10697.800000000001,TP,17.178,335609.78
VND,2025-04-08,13447.15,2025-05-27,15790.1,TP,17.4234,335041.85
STB,2025-04-21,37887.85,2025-06-18,46645.0,TP,23.1133,674300.55
TCB,2025-05-12,25935.91,2025-06-18,32418.800000000003,TP,24.9958,674220.56
