date,total_value,cash,open_positions_value
2025-01-02,20109375.11,17052165.11,3057210.0
2025-01-03,19996522.61,14046142.61,5950380.0
2025-01-06,19996522.61,14046142.61,5950380.0
2025-01-07,20024032.61,14046142.61,5977890.0
2025-01-08,20089522.61,14046142.61,6043380.0
2025-01-09,20056762.61,14046142.61,6010620.0
2025-01-10,19996582.61,14046142.61,5950440.0
2025-01-13,20063272.61,14046142.61,6017130.0
2025-01-14,19976632.61,14046142.61,5930490.0
2025-01-15,19973152.61,14046142.61,5927010.0
2025-01-16,19995892.61,14046142.61,5949750.0
2025-01-17,20097142.61,14046142.61,6051000.0
2025-01-20,20105332.61,14046142.61,6059190.0
2025-01-21,20080822.61,14046142.61,6034680.0
2025-01-22,20080822.61,14046142.61,6034680.0
2025-01-23,20195482.61,14046142.61,6149340.0
2025-01-24,20205352.61,14046142.61,6159210.0
2025-01-27,20205352.61,14046142.61,6159210.0
2025-01-28,20205352.61,14046142.61,6159210.0
2025-01-29,20205352.61,14046142.61,6159210.0
2025-01-30,20205352.61,14046142.61,6159210.0
2025-01-31,20205352.61,14046142.61,6159210.0
2025-02-03,20145652.61,14046142.61,6099510.0
2025-02-04,20304772.61,14046142.61,6258630.0
2025-02-05,20306542.61,14046142.61,6260400.0
2025-02-06,20382622.61,14046142.61,6336480.0
2025-02-07,20561958.41,17325348.41,3236610.0
2025-02-10,20710369.26,14455589.26,6254780.0
2025-02-11,20728909.26,14455589.26,6273320.0
2025-02-12,20664219.26,14455589.26,6208630.0
2025-02-13,20697319.26,14455589.26,6241730.0
2025-02-14,20695839.26,14455589.26,6240250.0
2025-02-17,20674256.47,8386736.47,12287520.0
2025-02-18,20718806.47,8386736.47,12332070.0
2025-02-19,20784626.47,8386736.47,12397890.0
2025-02-20,20854916.47,8386736.47,12468180.0
2025-02-21,20895526.47,8386736.47,12508790.0
2025-02-24,20945366.47,8386736.47,12558630.0
2025-02-25,20957116.47,8386736.47,12570380.0
2025-02-26,20857116.47,8386736.47,12470380.0
2025-02-27,20850316.47,8386736.47,12463580.0
2025-02-28,20788846.47,8386736.47,12402110.0
2025-03-03,21019011.67,2185741.67,18833270.0
2025-03-04,21240081.67,2185741.67,19054340.0
